,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
711,40,2,3,18,0,Indiana,Indiana,6483802,6484051,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6381,26096,21175,31010,24931,14778,25882,23774,37419,36722,20955,83459,83077,83373,83554,84175,83559,82268,81801,80711,13852,57901,58599,60698,59833,62900,62128,65300,63233,62175,7103,25558,24478,22675,23721,21275,21431,16968,18568,18536,2376,8791,10534,8595,9527,7779,13298,8861,14959,14379,-3040,-8203,-13567,81,-7644,-13950,-8698,-1877,4044,3997,-664,588,-3033,8676,1883,-6171,4600,6984,19003,18376,-58,-50,-270,-341,-673,-326,-149,-178,-152,-190,187366,187441,188054,188241,189118,189509,188707,189039,188235,189634,190079,12.832975575999999,12.727980683,12.722471192999999,12.695902412999999,12.75179203,12.619607172,12.378217839000001,12.251550615,12.021553033,8.903079582,8.9777789285,9.2623338066,9.091532770299999,9.528811626900001,9.3829623901,9.825176556,9.4705724871,9.260696309,3.9298959941000002,3.7502017545,3.4601373861,3.6043696429,3.2229804032,3.2366447814,2.5530412833000002,2.7809781276,2.7608567235000003,1.3517378387999999,1.6138828859,1.3115713708,1.4476130681000001,1.1784519181,2.0083478281000002,1.3332448615999999,2.2404487187999997,2.1416896217,-1.261324706,-2.078559817,0.012360358500000002,-1.1614941,-2.1133055990000003,-1.313626817,-0.282417403,0.6056805013000001,0.5953357965,0.0904131327,-0.464676931,1.3239317293000001,0.28611896789999997,-0.934853681,0.6947210114,1.0508274589,2.8461292201,2.7370254182
712,50,2,3,18,1,Indiana,Adams County,34387,34384,34444,34368,34400,34644,34758,34945,35178,35385,35595,35777,60,-76,32,244,114,187,233,207,210,182,183,634,679,676,701,650,668,688,687,676,64,316,317,315,309,323,314,320,288,261,119,318,362,361,392,327,354,368,399,415,1,9,8,8,3,-3,6,1,8,8,-63,-402,-345,-123,-285,-134,-126,-162,-198,-239,-62,-393,-337,-115,-282,-137,-120,-161,-190,-231,3,-1,7,-2,4,-3,-1,0,1,-2,421,421,421,421,421,421,421,421,421,421,422,18.427018543,19.747557003,19.581716007,20.201146940999998,18.650560234,19.052236784,19.500304692,19.357565511,18.943002858,9.1844445736,9.2194043741,9.124616186799999,8.9046425175,9.2678937779,8.955692141,9.0699091592,8.1149619611,7.3137925237,9.2425739697,10.528152629,10.45709982,11.296504424,9.382666456299999,10.096544643,10.430395532999999,11.24260355,11.629210335,0.26158228219999996,0.2326663564,0.2317362841,0.08645284,-0.086079509,0.1711278753,0.0283434661,0.22541561,0.2241775486,-11.6840086,-10.03373662,-3.5629453680000003,-8.213019798,-3.844884725,-3.5936853810000002,-4.591641512,-5.579036348,-6.697304265,-11.42242632,-9.801070265,-3.3312090839999997,-8.126566958,-3.9309642339999997,-3.4225575060000004,-4.563298046,-5.353620738,-6.473126716
713,50,2,3,18,3,Indiana,Allen County,355329,355339,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299,606,3029,1916,2465,1792,2215,2050,2311,3356,4220,1345,5259,5208,5183,5145,5272,5211,5234,5121,5155,579,2848,2936,3025,3031,3242,3226,3426,3193,3162,766,2411,2272,2158,2114,2030,1985,1808,1928,1993,186,778,770,604,531,395,677,442,757,747,-331,-145,-1082,-245,-798,-160,-597,80,685,1492,-145,633,-312,359,-267,235,80,522,1442,2239,-15,-15,-44,-52,-55,-50,-15,-19,-14,-12,6105,6105,6127,6118,6102,6097,6101,6065,6124,6119,6121,14.712156202000001,14.469399776,14.312836125999999,14.124875429000001,14.39436239,14.145450300999999,14.124282351,13.714478536,13.666888483,7.9673361598,8.157096340399999,8.3535267762,8.3211851169,8.851768374199999,8.7570951201,9.2452792001,8.551128679400001,8.3830652538,6.7448200426,6.3123034351,5.959309349700001,5.8036903124,5.542594015900001,5.3883551808000005,4.8790031506,5.1633498571,5.2838232292,2.1764703414,2.1392929776,1.6679438588,1.4577859773,1.0784850425,1.8377412884,1.1927651506999999,2.0273111213,1.9804395144,-0.405640359,-3.006123379,-0.6765666309999999,-2.190797005,-0.436854701,-1.620578359,0.2158850952,1.8344889275,3.9555766473,1.7708299821,-0.866830401,0.9913772273,-0.733011028,0.6416303417,0.21716292920000002,1.4086502459,3.8618000487,5.9360161617
714,50,2,3,18,5,Indiana,Bartholomew County,76794,76783,76818,77620,79001,79655,80497,81458,82231,82213,82722,83779,35,802,1381,654,842,961,773,-18,509,1057,247,982,1068,1050,1096,1083,1092,1050,1034,1015,205,712,701,679,771,739,733,813,708,734,42,270,367,371,325,344,359,237,326,281,69,258,315,298,413,410,578,383,621,629,-72,275,681,-2,123,212,-161,-637,-440,151,-3,533,996,296,536,622,417,-254,181,780,-4,-1,18,-13,-19,-5,-3,-1,2,-4,1147,1147,1147,1147,1147,1147,1147,1147,1147,1148,1148,12.717077403,13.63801789,13.236183945,13.686997352999999,13.374085394000002,13.342374869,12.770304785,12.538272653,12.192118965999999,9.2205286264,8.9515454505,8.5593989512,9.6283530646,9.1259917878,8.9560080396,9.887864561799999,8.5852002304,8.8167638633,3.4965487769,4.6864724398,4.6767849939,4.0586442879,4.2480936062,4.3863668298,2.8824402227999997,3.9530724225,3.375355103,3.341146609,4.0224490969,3.7565550625,5.1576002797000005,5.0631348214,7.0621727789,4.6581206976,7.5302391851,7.5555101771,3.5612996801,8.696151857,-0.025211779,1.5360407613,2.6180111759,-1.967145013,-7.747318236,-5.335435171,1.8138029200999999,6.902446289099999,12.718600954000001,3.7313432836000002,6.693641041,7.6811459973,5.0950277661,-3.089197538,2.1948040137000002,9.369313097200001
715,50,2,3,18,7,Indiana,Benton County,8854,8836,8863,8856,8821,8748,8720,8693,8658,8631,8653,8748,27,-7,-35,-73,-28,-27,-35,-27,22,95,20,97,98,105,116,113,110,115,99,103,14,82,78,99,87,94,84,73,80,81,6,15,20,6,29,19,26,42,19,22,0,0,5,1,2,1,1,1,1,1,21,-22,-61,-79,-64,-47,-63,-71,4,73,21,-22,-56,-78,-62,-46,-62,-70,5,74,0,0,1,-1,5,0,1,1,-2,-1,92,92,92,92,92,92,92,92,92,92,92,10.948699137,11.087854274000001,11.952871535,13.281428899000002,12.978808935999998,12.679384474,13.303256406,11.455681555,11.838400092,9.255601331900001,8.8250268711,11.269850305,9.9610716739,10.796531327,9.6824390525,8.4446758054,9.2571164082,9.309809781,1.6930978046,2.2628274028,0.6830212306,3.3203572246,2.1822776087,2.9969454210000004,4.8585806004,2.198565147,2.5285903109,0.0,0.5657068507,0.1138368718,0.2289901534,0.11485671619999999,0.1152671316,0.11568049050000001,0.1157139551,0.1149359232,-2.483210113,-6.901623579,-8.993112868999999,-7.32768491,-5.398265664,-7.261829289,-8.213314824,0.4628558204,8.3903223953,-2.483210113,-6.335916728,-8.879275997,-7.098694756,-5.283408947,-7.146562157999999,-8.097634334,0.5785697755,8.505258318500001
716,50,2,3,18,9,Indiana,Blackford County,12766,12766,12771,12656,12528,12461,12347,12242,12115,12028,11924,11758,5,-115,-128,-67,-114,-105,-127,-87,-104,-166,33,146,144,140,126,150,128,116,128,115,22,146,137,143,172,174,161,159,176,163,11,0,7,-3,-46,-24,-33,-43,-48,-48,1,6,9,-1,3,7,9,7,10,10,-7,-120,-147,-65,-71,-88,-102,-51,-67,-128,-6,-114,-138,-66,-68,-81,-93,-44,-57,-118,0,-1,3,2,0,0,-1,0,1,0,163,163,163,163,163,163,163,163,163,163,163,11.483855744000001,11.435832274000001,11.204930169,10.158013544,12.200577494000001,10.510325574,9.6094105952,10.688042752000001,9.7120175661,11.483855744000001,10.879923760999999,11.445035815999999,13.866494679,14.152669892999999,13.220018885999998,13.171519695,14.696058784000002,13.765729246,0.0,0.5559085133,-0.240105646,-3.708481135,-1.952092399,-2.7096933119999997,-3.5621091000000003,-4.008016032,-4.05371168,0.4719392771,0.7147395172,-0.080035215,0.24185746530000002,0.5693602831,0.7390072669,0.5798782256,0.83500334,0.8445232666,-9.438785543,-11.67407878,-5.202289007,-5.723960012999999,-7.15767213,-8.375415692,-4.224827072,-5.594522378,-10.80989781,-8.966846266000001,-10.95933926,-5.282324223,-5.482102547999999,-6.588311847000001,-7.636408425,-3.644948846,-4.7595190380000005,-9.965374546
717,50,2,3,18,11,Indiana,Boone County,56640,56641,56916,57915,59033,60346,61631,63033,64192,65723,66930,67843,275,999,1118,1313,1285,1402,1159,1531,1207,913,162,697,700,727,759,767,797,793,786,764,88,436,477,529,505,534,530,548,469,469,74,261,223,198,254,233,267,245,317,295,18,46,52,39,42,24,67,44,81,72,177,691,831,1056,977,1136,824,1241,810,546,195,737,883,1095,1019,1160,891,1285,891,618,6,1,12,20,12,9,1,1,-1,0,574,574,574,574,574,574,574,574,574,574,574,12.139579034,11.971132469,12.179696597000001,12.444969134,12.305076044000002,12.528984083,12.207982142,11.850467007999999,11.337582453,7.5937682333000005,8.1574716968,8.8625302608,8.2802495552,8.567028171699999,8.3316958145,8.4362852634,7.0710801867,6.9598510087,4.5458108002,3.8136607723,3.3171663357999996,4.1647195783,3.7380478726999997,4.1972882688,3.7716968787000003,4.7793868213,4.3777314447,0.8011773823999999,0.8892841263,0.653381248,0.6886544185,0.385034974,1.0532521124,0.6773659701000001,1.2212313329,1.0684632679000001,12.035077635999999,14.211444403,17.691553791,16.019413496,18.22498877,12.953428964,19.104799292,12.212313329,8.1025131146,12.836255018,15.100728529000001,18.344935039,16.708067914,18.610023744,14.006681077,19.782165262,13.433544662000001,9.1709763825
718,50,2,3,18,13,Indiana,Brown County,15242,15244,15207,15076,15049,15055,14944,14994,14996,15010,15230,15092,-37,-131,-27,6,-111,50,2,14,220,-138,19,109,124,128,108,110,117,119,113,117,53,138,154,150,140,147,179,148,169,153,-34,-29,-30,-22,-32,-37,-62,-29,-56,-36,1,-3,-5,-1,-2,-3,-3,-3,-3,-3,-2,-98,9,31,-78,90,68,46,279,-98,-1,-101,4,30,-80,87,65,43,276,-101,-2,-1,-1,-2,1,0,-1,0,0,-1,163,163,163,163,163,163,163,163,163,163,163,7.198758379299999,8.2323651452,8.5038533085,7.200240008,7.348520275199999,7.802600867000001,7.9317469839,7.4735449735,7.7171690522,9.1140243701,10.22406639,9.965453095900001,9.3336444548,9.820295276900001,11.937312437000001,9.864693727899999,11.177248677,10.091682607000001,-1.9152659909999998,-1.991701245,-1.461599787,-2.1334044469999998,-2.4717750019999998,-4.134711571,-1.932946744,-3.7037037039999996,-2.374513555,-0.198130965,-0.331950207,-0.066436354,-0.13333777800000002,-0.200414189,-0.200066689,-0.199960008,-0.198412698,-0.19787613,-6.4722781760000005,0.5975103734,2.0595269732,-5.200173339,6.012425679700001,4.5348449483,3.066053456,18.452380952000002,-6.463953565,-6.67040914,0.26556016600000004,1.9930906192,-5.333511117,5.8120114904,4.3347782594,2.866093448,18.253968254,-6.661829695
719,50,2,3,18,15,Indiana,Carroll County,20155,20160,20199,20043,20112,20113,19953,19887,19973,20067,20188,20257,39,-156,69,1,-160,-66,86,94,121,69,68,205,206,232,226,194,205,211,251,232,30,192,154,177,175,203,174,191,202,191,38,13,52,55,51,-9,31,20,49,41,1,-3,7,3,6,3,13,10,16,16,1,-167,9,-54,-221,-58,44,63,58,13,2,-170,16,-51,-215,-55,57,73,74,29,-1,1,1,-3,4,-2,-2,1,-2,-1,106,106,106,106,106,106,106,106,106,106,106,10.188360419,10.260241564,11.535114978,11.281385714,9.738955823300001,10.286001004,10.539460539,12.470500559000001,11.472369885,9.5422692709,7.670277673999999,8.8004972032,8.7355862826,10.190763052000001,8.730556949299999,9.540459540499999,10.03602037,9.4449252071,0.6460911485999999,2.5899638899,2.734617775,2.5457994309,-0.451807229,1.5554440541999999,0.9990009990000001,2.4344801888,2.027444678,-0.149097957,0.34864898520000004,0.1491609695,0.2995058154,0.15060240960000001,0.6522829904999999,0.49950049950000003,0.7949323065,0.7911979231,-8.299786293,0.44826298090000005,-2.684897452,-11.03179753,-2.9116465860000003,2.2077270447,3.1468531469,2.8816296112,0.6428483125,-8.44888425,0.7969119661,-2.535736482,-10.73229172,-2.761044177,2.8600100350999997,3.6463536463999997,3.6765619177999995,1.4340462356
720,50,2,3,18,17,Indiana,Cass County,38966,38970,38985,38916,38771,38585,38487,38081,37905,37828,37895,37689,15,-69,-145,-186,-98,-406,-176,-77,67,-206,107,511,504,506,472,503,491,474,450,452,66,339,403,393,394,425,394,442,411,415,41,172,101,113,78,78,97,32,39,37,24,62,107,99,80,32,97,81,123,112,-49,-303,-357,-405,-260,-520,-372,-189,-97,-354,-25,-241,-250,-306,-180,-488,-275,-108,26,-242,-1,0,4,7,4,4,2,-1,2,-1,1066,1074,1062,1078,1056,1053,1031,1042,1055,1046,1051,13.119215414000001,12.975143846,13.082372408,12.248287315999999,13.138647999000002,12.923433264000002,12.517660729000001,11.885424508,11.960203218,8.703354257300001,10.374966211,10.160814934,10.224205937,11.101243339000002,10.370331377000001,11.672586587,10.855354384000002,10.981160034,4.4158611571,2.6001776359,2.9215574744999997,2.0240813785,2.0374046599,2.5531018872,0.8450741421,1.030070124,0.9790431837000001,1.5917639055000001,2.7546436341000002,2.5595946016,2.075980901,0.835858322,2.5531018872,2.1390939221000003,3.2486826988,2.9635901777999996,-7.7791042479999994,-9.190726891,-10.47106882,-6.7469379279999995,-13.58269773,-9.791277341,-4.991219151,-2.5619692830000003,-9.367061812000001,-6.187340342000001,-6.436083257000001,-7.911474223,-4.670957027,-12.74683941,-7.238175452999999,-2.852125229,0.6867134159999999,-6.403471634
